model,dropout,surface,trial,rmse_bps,epp_bps,time_ms,epochs_trained
ICNN,0.4,21,1,542.4134744429224,0.0,2949.129819869995,231
ICNN,0.4,21,2,749.3423094141745,0.0,2303.884983062744,176
ICNN,0.6,21,0,729.5356747755627,0.0,2249.831199645996,185
ICNN,0.6,21,1,541.4717973655165,0.0,2184.326171875,181
ICNN,0.6,21,2,586.6352711828218,0.0,2517.4877643585205,207
ICNN,0.2,22,0,843.932692202434,0.0,3418.2615280151367,255
ICNN,0.2,22,1,683.2415960906775,0.0,3819.9970722198486,174
ICNN,0.2,22,2,983.6847979630794,0.0,4042.060136795044,244
ICNN,0.4,22,0,664.862009981507,0.0,3081.099510192871,247
ICNN,0.4,22,1,623.003089751711,0.0,2970.637083053589,234
ICNN,0.4,22,2,703.6871786730225,0.0,3055.720806121826,195
ICNN,0.6,22,0,563.9982925278047,0.0,2360.891580581665,177
ICNN,0.6,22,1,519.9501227741139,0.0,2374.9029636383057,187
ICNN,0.6,22,2,822.6277106536327,0.0,1964.7297859191895,158
ICNN,0.2,23,0,669.2920836323127,0.0,2213.3352756500244,172
ICNN,0.2,23,1,519.3996853300872,0.0,2273.8518714904785,178
ICNN,0.2,23,2,448.22764432507904,0.0,2448.427677154541,193
ICNN,0.4,23,0,474.5624199611754,0.0,2386.4078521728516,189
ICNN,0.4,23,1,609.7507608723133,0.0,2984.710454940796,235
ICNN,0.4,23,2,468.7088113558561,0.0,2401.5917778015137,193
ICNN,0.6,23,0,492.3642733689982,0.0,2525.4385471343994,207
ICNN,0.6,23,1,573.461760740599,0.0,2248.2657432556152,187
ICNN,0.6,23,2,500.97413448662314,0.0,2555.9699535369873,182
ICNN,0.2,24,0,496.56569462040693,0.0,2813.5335445404053,216
ICNN,0.2,24,1,599.3972922980512,0.0,2530.463695526123,195
ICNN,0.2,24,2,826.1396592679597,0.0,2581.4857482910156,200
ICNN,0.4,24,0,793.5174300283568,0.0,2075.794458389282,161
ICNN,0.4,24,1,689.6576752225991,0.0,2429.8582077026367,186
